spamScore,SenderReplyDiff,checkAttachments,subjReply,subjForward,subjNoOfWords,subjNoOfChar,subjVerify,subjDebit,subjBank,script_exist,checkPopup,checkJS,NoOnClick,html_exist,form_exist,noFunctionWords,noWords,noChars,check_suspend,check_verify,check_dear,unique_Words,Richness,noOfURLs,noOfLinks,checkIP,checkAtSym,checkdoubleslash,checkURLShorten,checkImg,checkPort,checkNoDots,avg_DomainLength,checkContentURL,checkModal,check_Here,Phishing
8,1,0,FALSE,FALSE,6,30,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,10,275,2490,FALSE,FALSE,FALSE,68,0.110441767,3,2,1,1,1,1,2,1,0,6,1,1,1,1
2.2,1,0,FALSE,FALSE,4,39,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,10,532,5388,TRUE,FALSE,TRUE,82,0.098737936,3,3,1,1,1,1,0,1,0,18,1,1,0,1
2.5,1,0,FALSE,FALSE,4,33,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,14,1168,10981,FALSE,FALSE,TRUE,84,0.10636554,13,5,1,1,0,1,9,1,1.8,36,1,1,0,1
0.2,1,1,FALSE,FALSE,10,52,FALSE,FALSE,TRUE,FALSE,0,0,0,TRUE,FALSE,0,388,29824,FALSE,FALSE,FALSE,67,0.013009657,0,0,1,1,1,1,0,1,0,0,1,0,1,1
6.4,1,0,FALSE,FALSE,14,61,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,3,1118,15500,FALSE,FALSE,FALSE,75,0.072129032,4,4,1,1,1,1,1,1,0.5,21.25,1,1,1,1
4,1,0,FALSE,FALSE,4,28,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,7,348,3027,FALSE,FALSE,TRUE,78,0.114965312,2,2,1,1,1,1,0,1,0.5,22,1,1,0,1
2.5,1,0,FALSE,FALSE,4,33,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,4,382,4076,FALSE,FALSE,TRUE,83,0.093719333,5,2,1,1,1,1,1,1,1,35,1,1,1,1
3.4,1,0,FALSE,FALSE,5,29,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,11,401,4732,FALSE,TRUE,TRUE,77,0.084742181,8,5,1,1,1,1,3,1,2,45,1,1,1,1
7.3,1,1,FALSE,FALSE,4,29,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,15,2797,116852,FALSE,FALSE,TRUE,86,0.023936261,20,9,1,0,1,1,14,1,1.888888889,39,1,1,1,1
0,1,0,FALSE,FALSE,4,24,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,4,547,6527,FALSE,FALSE,TRUE,81,0.08380573,11,5,1,1,1,1,1,1,1.8,40.4,0,1,1,1
3.6,1,0,FALSE,FALSE,8,47,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,2,1308,13034,FALSE,FALSE,TRUE,79,0.100352923,1,1,1,0,1,0,0,1,2,55,1,1,0,1
2.6,1,1,FALSE,FALSE,8,49,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,583,44675,FALSE,FALSE,FALSE,73,0.013049804,0,0,1,1,1,1,0,1,0,0,1,0,1,1
0.1,1,0,FALSE,FALSE,6,43,TRUE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,27,1499,20476,FALSE,FALSE,TRUE,83,0.073207658,29,19,1,1,1,1,7,1,1.105263158,26.31578947,1,1,0,1
4.8,1,0,FALSE,FALSE,2,24,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,82,903,FALSE,FALSE,FALSE,60,0.090808416,1,1,1,1,1,1,0,1,2,31,1,1,0,1
1.3,1,1,FALSE,FALSE,5,29,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,417,32109,FALSE,FALSE,FALSE,67,0.012987013,0,0,1,1,1,1,0,1,0,0,1,0,1,1
1.5,1,0,FALSE,FALSE,2,14,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,6,647,6456,FALSE,FALSE,TRUE,83,0.100216853,1,1,1,1,1,1,0,1,3,47,1,1,1,1
0.9,1,0,FALSE,FALSE,4,25,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,6,249,1595,FALSE,FALSE,FALSE,70,0.156112853,4,1,1,1,1,1,0,1,2,27,1,1,0,1
3.2,1,0,FALSE,FALSE,6,41,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,19,434,FALSE,FALSE,FALSE,51,0.043778802,2,0,1,1,1,1,1,1,0,0,1,1,1,1
1,1,0,FALSE,FALSE,4,25,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,2,26,201,FALSE,FALSE,FALSE,51,0.129353234,1,0,1,1,1,1,0,1,0,0,1,1,1,1
1.1,1,0,FALSE,FALSE,8,45,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,22,1324,14380,FALSE,FALSE,TRUE,82,0.092072323,21,11,1,1,0,1,10,1,1.090909091,29.18181818,0,1,1,1
2.9,1,1,FALSE,FALSE,3,32,FALSE,FALSE,FALSE,TRUE,1,1,3,TRUE,TRUE,104,5187,69877,FALSE,FALSE,FALSE,94,0.074230433,180,151,1,1,0,1,2,1,1.688741722,27.48344371,1,1,1,1
2.2,1,1,FALSE,FALSE,6,54,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,426,30815,FALSE,FALSE,FALSE,67,0.013824436,0,0,1,1,1,1,0,1,0,0,1,0,1,1
6.7,1,0,FALSE,FALSE,6,56,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,6,398,FALSE,FALSE,FALSE,61,0.015075377,0,0,1,1,1,1,0,1,0,0,1,0,1,1
1.8,1,0,FALSE,FALSE,5,33,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,8,391,3514,FALSE,FALSE,TRUE,82,0.111269209,2,1,1,1,1,1,0,1,1,16,1,1,1,1
