SenderReplyDiff,checkAttachments,subjReply,subjForward,subjNoOfWords,subjNoOfChar,subjVerify,subjDebit,subjBank,script_exist,checkPopup,checkJS,NoOnClick,html_exist,form_exist,noFunctionWords,avgDomainLength,noWords,check_suspend,check_verify,noOfURLs,noOfLinks,checkIP,checkAtSym,checkURLShorten,checkImg,checkPort,Phishing
1,1,False,False,3,24,False,False,False,False,0,0,0,True,False,0,0,29,False,False,0,0,1,1,1,0,1,1
1,0,False,False,4,20,False,False,False,False,0,0,0,True,False,31,35.285714285714285,1135,False,False,23,7,1,1,1,12,1,1
1,0,False,False,3,24,False,False,False,False,0,0,0,True,False,9,62.0,252,False,False,1,1,1,1,1,0,1,1
1,1,False,False,5,34,False,False,False,True,0,1,0,True,True,113,27.195979899497488,3597,False,False,59,199,1,1,1,23,1,1
0,0,False,False,3,19,False,False,False,False,0,0,0,True,False,1,21.0,155,False,False,1,1,1,1,1,0,1,1
1,1,False,False,7,58,False,False,False,False,0,0,0,True,False,0,0,2118,False,False,0,0,1,1,1,0,1,1
1,0,False,False,8,49,False,False,False,False,0,0,0,True,False,0,0,47,False,False,0,0,1,1,1,0,1,1
1,0,False,False,5,38,False,False,False,False,0,0,0,True,False,9,64.0,265,False,False,2,1,1,1,1,0,1,1
1,1,True,False,6,32,False,False,False,False,0,0,0,True,False,0,0,744,False,False,0,0,1,1,1,0,1,1
1,0,False,False,4,25,False,False,False,False,0,0,0,True,False,8,64.0,104,False,False,1,1,1,1,1,0,1,1
1,0,False,False,11,71,False,False,False,False,0,0,0,True,False,6,37.5,367,False,False,8,2,1,0,1,2,1,1
1,0,False,False,9,49,False,False,False,False,0,0,0,True,False,25,45.0,341,False,False,4,1,1,1,1,1,1,1
1,1,False,False,5,31,False,False,False,False,0,0,0,True,False,0,0,3131,False,False,0,0,1,1,1,0,1,1
1,0,False,False,3,22,False,False,False,False,0,0,0,True,False,6,21.0,75,False,False,2,1,1,1,1,0,1,1
1,1,False,False,10,75,False,False,False,False,0,0,0,True,False,0,0,12,False,False,0,0,1,1,1,0,1,1
1,0,False,False,11,71,False,False,False,False,0,0,0,True,False,6,63.0,973,False,False,8,1,1,1,1,7,1,1
1,0,False,False,2,20,False,False,False,False,0,0,0,True,False,16,41.333333333333336,687,False,True,5,3,1,1,1,1,1,1
0,0,False,False,9,45,False,False,False,False,0,0,0,True,False,0,39.0,75,False,False,2,1,1,1,1,1,1,1
1,0,False,False,5,40,False,False,False,False,0,0,0,True,False,11,36.2,942,False,False,17,10,1,1,1,13,1,1
1,0,False,False,6,34,False,False,False,False,0,0,0,True,False,0,0,59,False,False,0,0,1,1,1,0,1,1
1,0,False,False,6,39,False,False,False,False,0,0,0,True,False,11,38.45454545454545,992,False,False,12,11,1,1,1,12,1,1
1,1,False,False,8,53,False,False,True,False,0,0,0,True,False,5,46.142857142857146,413,False,True,7,7,1,1,1,6,1,1
1,0,False,False,1,4,False,False,False,False,0,0,0,True,False,2,35.0,109,False,False,1,1,1,1,1,0,1,1
1,1,False,False,7,43,False,False,False,False,0,0,0,True,False,0,0,66,False,False,0,0,1,1,1,0,1,1
1,0,False,False,6,34,False,False,False,False,0,0,0,True,False,8,69.0,102,True,False,3,1,1,1,1,1,1,1
1,0,False,False,3,21,False,False,True,False,0,0,0,True,False,14,57.333333333333336,476,False,True,5,3,1,1,1,1,1,1
1,0,False,False,10,65,False,False,True,False,0,0,0,True,False,53,4.8,1572,False,True,4,10,1,1,1,4,1,1
1,1,False,False,6,38,False,False,False,False,0,0,0,True,False,0,0,427,False,False,0,0,1,1,1,0,1,1
1,0,False,False,2,21,False,False,False,False,0,0,0,True,False,12,9.0,861,False,False,0,2,1,1,1,0,1,1
1,0,False,False,6,47,False,False,False,False,0,0,0,True,False,10,53.0,144,False,False,2,1,1,1,1,1,1,1
1,1,False,False,7,57,False,False,False,False,0,0,0,True,False,7,70.0,383,False,False,2,1,1,1,1,1,1,1
1,0,False,False,5,37,False,False,False,False,0,0,0,True,False,9,127.0,488,False,False,8,4,1,0,1,2,1,1
1,1,False,False,3,32,False,False,False,True,1,1,3,True,True,111,27.483443708609272,5223,False,False,180,151,1,1,1,2,1,1
1,0,False,False,11,67,False,False,False,False,0,0,0,True,False,5,134.0,292,False,False,1,1,1,0,1,0,1,1
1,0,False,False,4,25,False,False,False,False,0,0,0,True,False,4,39.0,78,False,False,2,1,1,1,1,0,1,1
1,0,False,False,8,40,False,False,False,False,0,0,0,True,False,10,9.0,944,False,False,2,1,1,1,1,0,1,1
1,0,False,False,4,24,False,False,False,False,0,0,0,True,False,15,43.4,1165,False,False,13,5,1,1,1,9,1,1
1,1,False,False,11,94,False,False,False,False,0,0,0,True,False,2,0,4393,False,False,0,0,1,1,1,0,1,1
1,0,False,False,16,69,False,False,False,False,0,0,0,True,False,25,42.2,600,False,False,16,5,1,1,1,8,1,1
1,0,False,False,5,32,False,False,True,False,0,0,0,True,False,12,79.66666666666667,341,False,False,5,3,1,1,1,2,1,1
1,0,False,False,6,45,False,False,False,False,0,0,0,True,False,8,55.0,188,False,False,3,1,1,1,1,1,1,1
1,0,False,False,1,12,False,False,False,False,0,0,0,True,False,16,46.5,633,False,True,3,2,1,1,1,0,1,1
1,0,False,False,7,48,False,False,False,False,0,0,0,True,False,4,40.0,369,False,False,4,2,1,1,1,0,1,1
1,0,False,False,7,61,False,False,False,False,0,0,0,True,False,20,36.1,1191,True,False,23,10,1,0,1,14,1,1
1,0,False,False,5,41,False,False,False,False,0,0,0,True,False,20,12.0,273,False,False,2,1,1,1,1,1,1,1
1,0,False,False,5,40,False,False,False,False,0,0,0,True,False,44,35.5,1084,False,False,5,8,1,1,1,18,1,1
1,1,False,False,6,38,False,False,False,False,0,0,0,True,False,14,35.285714285714285,1213,False,False,8,7,1,1,1,12,1,1
1,0,False,False,4,31,False,False,False,False,0,0,0,True,False,4,40.0,405,False,False,3,1,1,1,1,0,1,1
1,0,False,False,4,24,False,False,False,False,0,0,0,True,False,15,43.4,1165,False,False,13,5,1,1,1,9,1,1
1,0,False,False,4,31,False,False,False,False,0,0,0,True,False,8,21.0,412,False,False,1,1,1,1,0,0,1,1
1,1,False,False,3,32,False,False,False,True,1,1,3,True,True,104,27.483443708609272,5187,False,False,180,151,1,1,1,2,1,1
1,0,False,False,6,54,False,False,False,False,0,0,0,True,False,1,33.0,683,False,False,12,2,1,1,1,8,1,1
1,0,False,False,12,84,True,False,False,False,0,0,0,True,False,15,53.0,226,False,True,3,1,1,1,1,0,1,1
1,1,False,False,5,53,False,False,False,False,0,0,0,True,False,10,35.0,847,False,False,14,14,1,0,1,11,1,1
1,0,False,False,7,42,False,False,False,False,0,0,0,True,False,16,48.0,948,False,False,9,3,1,1,1,6,1,1
1,0,False,False,6,49,False,False,False,False,0,0,0,True,False,43,41.0,1251,False,False,23,8,1,1,1,12,1,1
1,1,False,False,6,39,False,False,False,False,0,0,0,True,False,15,55.44444444444444,637,False,False,8,9,1,0,1,8,1,1
1,0,False,False,1,7,False,False,False,False,0,0,0,True,False,9,36.666666666666664,558,False,False,5,3,1,1,1,1,1,1
1,0,False,False,7,53,False,False,False,False,0,0,0,True,False,6,3.0,369,False,False,7,2,1,1,1,2,1,1
1,0,False,False,4,32,False,False,False,False,0,0,0,True,False,0,61.0,316,False,False,3,1,1,1,1,0,1,1
1,0,False,False,3,26,False,False,False,False,0,0,0,True,False,0,48.5,300,False,False,6,2,1,1,0,0,1,1
1,1,False,False,4,23,False,False,False,True,0,0,0,True,False,0,0,226,False,False,0,0,1,1,1,0,1,1
1,0,False,False,1,22,False,False,False,False,0,0,0,True,False,0,39.0,544,False,False,5,3,1,1,1,0,1,1
1,0,False,False,5,33,False,False,False,False,0,0,0,True,False,8,258.875,946,False,True,12,8,1,1,1,4,1,1
1,0,False,False,4,25,False,False,False,False,0,0,0,True,False,7,0,358,False,False,0,0,1,1,1,0,1,1
1,0,False,False,3,26,False,False,False,False,0,0,0,True,False,10,42.0,804,False,False,2,1,1,1,1,0,1,1
1,0,False,False,2,18,False,False,False,False,0,0,0,True,False,8,46.0,553,False,False,1,1,1,1,1,0,1,1
1,0,False,False,2,16,False,False,False,False,0,0,0,True,False,4,0,55,False,False,1,0,1,1,1,0,1,1
1,1,False,False,6,57,False,False,False,False,0,0,0,True,False,9,36.1,1296,True,False,11,10,1,0,1,14,1,1
1,1,False,False,5,35,False,False,False,False,0,0,0,True,False,0,0,211,False,False,0,0,1,1,1,0,1,1
1,1,False,False,6,47,False,False,False,False,0,0,0,True,False,0,0,243,False,False,0,0,1,1,1,0,1,1
1,0,False,False,2,21,False,False,False,False,0,0,0,True,False,9,40.0,250,False,True,1,1,1,1,1,0,1,1
1,0,False,False,6,54,False,True,False,False,0,0,0,True,False,12,53.0,176,False,False,2,2,1,1,1,0,1,1
1,0,False,False,3,26,False,False,False,False,0,0,0,True,False,0,48.5,300,False,False,6,2,1,1,0,0,1,1
1,0,True,False,3,19,False,False,False,False,0,0,0,True,False,13,34.388888888888886,4442,False,False,88,18,1,1,1,65,1,1
1,0,False,False,4,34,False,False,False,False,0,0,0,True,False,5,41.333333333333336,487,False,False,2,3,1,0,1,0,1,1
1,0,False,False,6,55,False,False,False,False,0,0,0,True,False,0,67.0,84,False,False,1,1,1,1,1,0,1,1
1,0,False,False,7,53,False,False,False,False,0,0,0,True,False,6,3.0,369,False,False,7,2,1,1,1,2,1,1
1,0,False,False,2,15,False,False,False,False,0,0,0,True,False,4,56.0,74,False,False,2,1,1,1,1,0,1,1
1,0,False,False,3,11,False,False,False,False,0,0,0,True,False,6,33.0,95,False,False,1,1,1,1,1,0,1,1
